term	def
طاحونة،طَواحين	molar, mill
طار،طَئر	vengance, revenge
طارَئ،طَوارِئ	unexpected, exceptional, emergency, unexpected event
طازا	fresh (doesn't decline for gender)
طازة	fresh
طاشة	bowl, cup, helmet
طاشَش/طاشّة،طاشّين	out wandering around
طاغي/طاغِية،طُغاه	tyrant, despot
طافَش/طافشة	roaming, rambling, meandering, wandering around
طاق	a single layer/fold
طاقة	energy, force, strength, power, ability
طاقَم	team
طاقِيّة،طَواقي	cap, hat, skullcap
طَاقِيِّة،طَوَاقي	cap
طالَب،طُلّاب	student, pupil
طالبة،طالِبات	student, pupil
طالَع	coming out, going out, going up, taking after
طالِع،طالْعة،طالْعين	going out/up (act)
طالَما	because, since, as, as long as
طاهَر/طاهرة	pure
طاولة	table
طاوْلة،طاوْلات	table
طائَر	flying
طايَر،طَوايَر	tyre (from english)
طائِرة	plane, aeroplane, airplane (more formal)
طايَش/طايشة،طايشين	irresponsible, unreliable, scatterbrained, rash
طايفة/طائِفة،طَوايَف/طَوائَف	(religious) community, denomination, sect
طائِفِيّة	sectarianism
طَب	well.. (short)
طِبّ	medicine (profession)
طَبّاخ	chef, cook
طَبّاخ،طَبّاخة،طَبّاخين	cook, chef
طِباعة	printing, typography, typing, keyboarding
طُبّة،طُبَب	ball (of string, wool, etc)
طَبَخ	cooking
طَبخة	dish, course (food)
طَبشورة،طَباشير	(a piece of) chalk
طَبَع	nature, character, printing
طَبعاً	of course, naturally
طُبعة	sticker
طَبعة	printing, edition
طَبَق،أَطباق	large round tray made of stray or wicker
طَبَقة	layer, stratum, social class, storey (of building)
طَبَل،طبول	drum
طَبلة	drum
طِبّي	medical
طَبيب	(medical) doctor
طَبيب،طَبيبة،أطِبّا	doctor
طَبيخ	dish, course, cooking, cookery
طَبيعة	nature
طَبيعي	natural, normal
طحال	spleen
طحين	flour
طحينة	tahine (paste made from ground sesame seeds)
طِراز حَديش	a new model, a modern style
طِراز،طُرُز	model, style, class, type, brand
طَرَب	music, singing
طَربوش،طَرابيش	one of those turkish hats?
طَرَح	subtraction
طُرُح	miscarried fetus, aborted fetus
طَرحة	veil
طَرحِيّة،طَراحي	sheet of paper, page
طَرد،طرود/طرودة	parcel, package, swarm
طَرش	mixed flock/herd of both large and small animals
طَرَش	deafness
طُرطيْقة	rattle (toy)
طَرَف،أَطراف	edge, side, party, side (in conflict etc)
طَرَف،أطْراف	extremity, bias
طرُمبة	pump
طَري	soft
طَرّيش	whitewasher (inالقدس)x
طَريق،طُرُق	way, road, track, highway, route
طَريق،طُرُق	way
طَريقة،طُرُق	way, method, system
طُزّ	so what! who cares!
طُشت،طشوت/طشوتة	bowl, basin (for laundry)
طَطلي/طَطلة،طَطالي	jam, jelly
طَطْلي\طَطْلة،طَطَالي	jam, jelly
طَعام	food
طُعُم	bait
طَعَم،طَعمة	taste, sense, reason
طَعْم\طَعْمة	taste (food)
طَفّاي	fire extinguisher
طَفران	penniless, broke
طُفطاف	low wall around the edges of a flat roof, raised area of a flat roof
طِفَل،أَطفال	young child, toddler
طُفولة	childhood
طَقّاشة	stapler
طَقس	weather, religious rite, ritual
طَقَم،طقومة	set, uniform
طَلاق	divorce
طَلَب	request, demand, order
طَلعة	ascent, climb, going out, departure
طَلَق	contractions, labor pains
طلوع	coming out, going out, rising
طَلياني	Italian
طَمبون	bumper (vehicle) (from french)
طَمَع	greed
طَموح	ambitious
طَمّيع/طَّاع	greedy, grasping
طُنّ/طون،أَطنان	ton
طَنجَرة،طَناجَر	cooking pot
طُنَطلة	vulva
طَنطور	tall hat, hood (of jacket etc)
طنَعش	twelve
طَهارة	purity
طُهُل/طُحمُل/طُحمُر	coffee grounds
طهور	circumcision
طَواف	circuit, round trip, circumambulation of the Kaaba during Hajj
طَوّالي	straight away, at once
طوب	bricks, concrete blocks
طوبار	form(s) (moulds) for pouring concrete
طوبَرجي	moulder, one who makes moulds for concrete
طور	Aramaic word for mountain
طوري،طَوَرا	a person from al-Tur
طوشة	fight, brawl, quarrel
طوفان	deluge, downpour, flood
طوق،طواق	collar (for animal etc)
طول	length, height
طولة	length
طَويل،أَطوَل	long, tall
طَويل،طْويلة،طْوال	tall
طَيّارة	aeroplane,plane, airplane, kite
طَيّارة،طَيّارات	airplane, kite
طَيَّب	good, fine, tasty, alive
طيبة	goodness, kindness
طيْر،طيور	fowl, bird
طَيران	flying, mad about, crazy about
طيز	ass
طين	clay
ظابَط،ظُبّاط	officer
ظاهَر،ظَواهَر	perceptible, visible, outward appearance
ظاهِرة،ظَواهَر	phenomenon, appearance
ظَبط	exactness, precision, control
ظَرف،ظُروف	envelope (some areas), circumstance
ظَلّ	shade, shadow (فَيّ more common)
ظَلام	darkness, dark
ظَلط	nudity, nakedness
ظُلُم	injustice, oppression
عابَس،عابسة	frowning, scowling, looking angry
عابَط،عابَطة	hugging
عاتَق،عَواتَق	shoulder
عاجَز،عاجزة	disabled, incapable
عَاجَل	fast, speedy
عاجِلاً	quickly, at once, immediately, soon
عاد	come on, get on with it
عادة،عادلت،عَوايَد	custom, habit
عادة،عادات	habit, custom
عادَتًا	usually
عادَل،عادلة،أَعدال	just, fair
عادي	usual, common, it's alright
عار	shame, disgrace, dishonor, stigma
عارَض،عارِضة	proposer, demonstrator, exhibitor
عارضة،عارضات	rung (of a ladder)
عاشَر	tenth
عاشَق،عُشّاق	lover, in love with, mad and crazy about
عاصفة،عَواصَف	storm
عاصم،عَواصِم	capitol
عاطِفة،عَواطَف	emotion, feeling
عاطِفي،عاطِفِيّة	emotional, sensitive
عاطِفِيّة	sentimentality
عاطَل،عاطلة،عاطلين	bad, nasty
عاطِل،عاطْلة،عاطْلين	nasty
عافية	health, vitality, wellbeing
عاقَر	barren, sterile
عاقَل،عاقلة،عُقال،عاقِلين	intelligent, wise, sensible
عاكَس	reflector
عال	great! wonderful!
عالْرّيق	on an empty stomach (on the saliva)
عالقَليلة	at least
عالِم	scientist
عالَم،عالمة	knowing, aware
عالَم،عالَمين	world
عالَمي،عالَمية	global, worldwide
عالي،عالية،عاليين	high
عامّ،عامّة	general, public
عامَر	thriving, flourishing, full of life
عامَل،عاملة،عُمّال،عامِلات	worker, laborer
عامَل،عَوامَل	factor
عامِل،شَغّيل،عُمّال،شَغّيلة	worker
عامِل،عَامْلةْ،عامْلين	working
عامِل،عَوامِل	cause, factor
عامّي،عامِّيّة	common, popular
عاهة،عاهات	disability, defect
عايِش،عايِشة،عايِشين	living
عُبّ	bosom, breast pocket (more precisely, the place between the garment and the chest)
عَباية	cloak like woollen coat with wide sleeves worn by country people or bedouins
عُبراني،عُبرانِيّة	hebrew
عِبرة،عِبَر	lesson, moral (of a story)
عَبري،عَبرِيّة	hebrew
عَبقَري،عَبقَرِيّة	genius
عُبْوة	explosive charge
عُبوة،عُبوات	charge (like an explosive charge), container, package
عَبيط،عَبيطة	stupid, foolish
عَتّال،عَتّالين	porter
عَتَبة،عَتَبات	threshold
عِتّة	moth
عَترة	obstacle, stumbling block
عَتَلة	crowbar
عِتَم،عِتمة	dark
عَتمة	darkness, dark (noun)
عَتيق عَتيقة،عُتَق\عُتاق	old
عَتيق،عَتيقة،عُتُق،عُتَق،أَعتاق	old (things, not people)
عَجَر	unripe
عَجَز	weakness, disability, deficient
عَجَل،أعجال	wheel, tyre
عِجَل،عِجَلة،عجول	calf (young cow/bull)
عَجَل،أعْجال\عِجال	wheel
عَجَلة	haste, hurry
عَجَمة،عَجَمات،عَجَم	stone, kernel, pit (fruit)
عَجَمي،عَجَمِيّة	Persian (usually carpets)
عَجوة	pressed dates
عَجوز،عَجايَز	old woman
عَجِيب،عَجِيبة	surprising, astonishing, amazing, wonderful
عَجيبة	wonder, miracle, marvel, strange/odd thing
عَدّ	counting
عَدا،ما عَدا	except, apart from
عَدّاد	meter (gas meter etc)
عَدالة	fairness, honesty
عَداوة	hostility, enmity
عَدائي	hostile
عِدّة	tools, instruments
عِدّة	several, a number of
عِدّة	the period of time which must elapse before a divorced or widowed muslim woman may begin a relationship with another man (90 days for a divorcee, 120 for a widow)
عِدّة،عَدَد	number
عَدَد،أعداد	number
عَدَسة،عَدسات،عَدَس	lentil, lentils, lens
عَدَل	justice
عَدَم	absence, lack, shortage
عَدوَ	epidemic
عَدُوّ،أَعداء	enemy
عُدوان	aggression, aggressiveness
عُدواني،عُدوانِيّة	aggressive, hostile
عُدوي،عُدوِيّة	organic
عُدوِيّة	membership
عَدِيد،عَدِيدَة	numerous
عَديل	husband of one's wife's sister, brother in law
عَديم	lacking, without, -less, un-, etc
عَذرة	virgin
عَرّاف،عَراريف	branch
عَرّاف،عَرّافة	fortune teller
عَربون،عَرابين	pledge, deposit, guarantee
عَربي،عَرَبيّة،عَرَب	Arabic
عَرَبِيّة،عَرَباي،عَرَبة،عَرَبَيّات	cart, carriage, supermarket trolley
عُرَس،أَعراس	wedding
عَرش،عُروش	throne
عَرص،عَرايَص	pimp, swine, bastard
عَرْض	beadth, width
عَرَض،أَعراض	sign, symptom
عَرض،عُروض	display, show, supply
عَرف	crest, comb
عُرف،أعراف	convention, usage, accepted behaviour
عُرف،عُروف	branch
عَرَق	sweat, perspiration, arak
عِرق،عُروق	root, stem
عَرقان،عَرقانة	sweating
عَرقَلة،عَرَقيل	obstacle, hinderance
عِروة	buttonhole
عَروس،عَرايَس	bride
عَروسة	doll
عَريان،عَريانة،عَرانين	naked
عَريس،عُرسان	bridegroom
عَريشة،عَرايِش	pergola, roofed grapevine trellis next to the house
عَريض،عَريضة	wide
عَريض،عَريضة،عْراض	broad
عَريضة،عَرائض	petition
عَريف،عُرَفا	corporal
عِزّ	climax, might, power
عَزاب	suffering, anguish
عَزّابي،عَزّابِيّة،عَزّابِيين،عُزبان	single, unmarried
عَزارة	reprimand, rebuke
عِزَة	power, might, glory, (sense of) honor
عُزُر،عُذر	excuse, good reason, justification
عَزَقة،عَزَقات	nut (for a screw/bolt)
عِزوة	support from one's family and friends, support network
عَزيز،عَزيزة،عَزيزين	dear, precious, loved, beloved
عَزيز،عَزيزة،عَزيزين	dear
عَزيمة،عَزايَم	invitation
عَسكَر	troops, soldiers
عَسكَري،عَسكَرِيّة	military (adj), soldier
عَسَل	honey
عَسَلي،عَسَلِيّة	honey colored, light brown
عَشا	supper, evening meal, evening prayer
عِشاء	time of evening prayer
عَشان\عَلَشان	because of
عِشَب،أَعشاب	grasses
عَشبة	bandage
عِشة	life, way of life, lifestyle
عِشتُم	thank you (for the invitation)! (may you live)
عُشَر،أَعشار	(a) tenth
عَشَرة،عَشْر،عاشِر	ten
عُشرَين	two tenths
عَشوائي	arbitrary, random
عشيادة،عشيادات	clinic
عَشِيّة	evening
عَشيرة،عَشائَر،عشايَر	tribe, clan
عَشيرة،عَشائِر	tribe, clan
عَشيق	lover
عَصَا،عُصي	stick, rod, staff
عِصابة،عِصابات	gang
عُصابي	neurotic, nervy
عُصابِيّة	neurosis
عَصّارة،عَصّارات	press, lemon squeezer, wringer, mangle
عَصَب،أَعصاب	nerve
عَصَبي،عَصَبِيّة	nervous
عَصَبِيّة	touchiness, irritability, oversensitivity
عَصة	stick
عَصَر	squeezing, pressing (fruit olives etc)
عَصَر	age epoch
عَصَر	late afternoon, the afternoon prayer
عَصري	contemporary, modern
عَصفور،عَصافير	small bird
عَصيان	disobedience, rebellion, revolt
عَصير	juice, squash
عَضَلة،عَضَلات	muscle
عَضَم	bone (substance)
عَضمة،إعضام	bone
عَطّار،عَطّارين	perfume vendor, spice merchant
عُطَر،عُطور،عُطورات	perfume, scent
عَطَش	thirst
عَطشان،عَطشانة	thirsty
عُطلة	holiday, day off
عَطيلة	burden
عَظيم،عَظيمة،أَعظام،عُظما	large, huge, great, powerful
عَفش	possessions, household effects, furniture
عَفو	amnesty, forgiveness, pardon
عَفْوًا	excuse me
عِقاب،عِقابات	punishment
عَقاقير	drugs, medicines
عَقال	headband, cord (keeps keffiyeh in place)
عُقبال	may it be the same for, I wish the same to...
عَقَبة،عَقَبات	obstacle, hinderance, difficulty, pass, steep mountain road
عَقَد	arch, vaulted ceiling, contract
عُقُد،عُقودة	necklace
عُقدة،عُقَد	knot, complex, inhibition, hang up
عَقرَب،عَقارَب	scorpion, hand of a clock
عَقَل	mind, sense, reason
عَقل،عْقُوْل/عَقْلَاْت	intellect
عَقلِيّة	mentality, way of thinking
عُقوبة،عُقوبات	penalty, sentence, (legally imposed) punishment
عَقيد،عُقَدا	colonel
عَقيم	sterile, barren, unproductive
عَكّا	Acre
عُكّازة،عَكاكيز،عُكّازات	walking stick, crutches
عَكّاوي،عَكّاوية	person from Acre
عَكَر	sediment, dregs
عِكَر،عِكرة	muddy, turbid, cloudy (of a liquid)
عَكروت،عَكاريت	pimp, swine, bastard, creep
عَكس	opposite, contrary
عَكَفة،عَكَفات	hook
عَكّوب	cardoon (a type of edible thistle)
عِلاج	treatment
عَلّاقة،عَلّاقات	clothes hanger
عَلامة،عَلامات	sign, symbol, mark, grade (at school)
عَلامة،عَلامات	mark, school grade, sign
عُلبة،عُلَب	can, box, tin
عِلبة،عِلَب	box, tin, can
عَلَف	fodder
عِلكة	chewing gum
عَلَم،أَعلام	flag
عِلَم،عِلم	knowledge, science
عِلْم،عُلوم	science
عُلَما	scholars
عِلماني،عِلمانِيّة،عِلمانيين	secularist
عِلمانِيّة	secularism
عِلمي،عِلمِيّة	scientific
عِلمِيّاً	scientifically
عَلَني	open, public
عُلو	height
عَلَواه	let's hope so! I wish!
عَلَى خَطأ	mistaken
عَلى طول	straight ahead
عَلى فِكْرة	by the way
عَلَى كُلّ حال	anyway
عَلى،ع	on, upon, on top of
عَمّ،عْمَام	paternal uncle
عُمّاد	baptism
عَمار	building, construction, prosperity
عَمار،دايمة	[May it] always be
عَمارة،عَمارات	building
عَمارة،عَمارات	building
عَمّال،عَماميل	ox
عَمة	blindness
عُمْر	age
عُمُر،أَعمار	lifetime, life span, age
عُمري ما	never
عِملاق،عَمالِقة	giant, superpower
عَمَلان	making (verbal noun)
عُملة	money, currency
عَمَلي،عَمَلِية	practical
عَمَلِيّاً	in practice
عَمَلِيّة،عَمَليّات	operation
عَمود،عَواميد،أعمِدة،عُمدان	pole, pillar, column (journalism)
عَمود،عُمْدان	pillar
عَمودي	vertical
عُمولة	commission
عُموم	generality, whole
عُمومي،عُمومِيّة	general, public
عَميد،عُمَداء	general (military), dean (university), rector
عَميق،أَعمَق	deep, profound
عَميل،عُمَلاء	agent, collaborator, spy
عَن	about
عَن إذنك	excuse me
عِناية	care, concern
عِنَب	grapes
عَنبَر،عَنابِر	barn, granary, storehouse (for grain)
عَنزة،عَنزات،عَنز	goat
عَنَس،عَوانَس	single woman, spinster
عُنصُر،عَناصَر	race, breed, element
عُنصُري،عُنصُرِيّة،عُنصُريين	racist, racial
عُنف	violence
عُنُق،أَعناق	neck
عَنكَبوت،عَناكَب	spider
عُنوان،عَناوين	address, title, headline, heading
عُنْوان،عَناوين	address, title, headline
عَنيد،عَنيدة،عُنَدا،عَنيدين	stubborn, opinionated, headstrong, tough
عَنيد،عَنيدة،عُنَدا/عَنيدِين	stubborn
عَنيف،عَنيفة	violent
عَواقَب	consequences
عَوّامة،عَوّامات	floater
عود،أعواد	oud
عود،عيدان	branch, piece of wood
عَودة	return
عَون	help
عَوي	bark, barking
عَوّيد،عَوّيدة،عَوّيدين	oud player
عَويص،عَويصة	complex, complicated, difficult, obscure
عيار،عيارات	measure, gauge, standard, (a) weight
عيال	children
عِيال	(nuclear) family
عَيّان،عَيّانة،عَيّانين	ill, sick, not well, a patient
عَيب،عيوب	fault, defect, shame, disgrace
عيب،عْيوب	shame
عيرة	false, artificial (of a body part)
عيسى	Jesus
عَين،عَيون	eye, spring (water source)
عين،عينَين،عْيون	eye
عين،عْيون	eye
عَيِّنة،عَيِّنات	specimen, sample
غارة	attack, raid
غاز	gas
غافي	asleep
غافي	asleep
غالَب	winner, victor
غالي	boiled (a.p.)
غالي	expensive, dear, beloved
غالي،غَالية،غاليين	expensive
غامَض	unclear, obscure, enigmatic, concealed, mysterious
غامَق	dark (color)
غائَب	absent, absentee
غايَب	absent, away
غاية	goal, purpose, intention, end, limit, extremity
غَباش	opacity, murkiness, condensation
غَبَرة	dust
غَبي،أَغبِياء	stupid, fool(ish), simple-minded
غِتار	guitar
غَد	tomorrow
غَدا	lunch, midday meal
غَدا	lunch
غُدّة،غُدَد	gland
غُراب	crow
غرام	gram
غَرام	love, passion, infatuation
غَرامة	a fine
غَرامي	amorous, erotic, love-
غرِب	flu, influenza
غَرب	west
غُربة	exile, living abroad
غَرْبي	western, westerly
غُرّة	fringe (hair?)
غَرسون	waiter (from French)
غَرَض،أَغراض،غراض	object, objective, aim, purpose, commodity, object, thing
غَرَض،غْراض	commodity, object, thing, objective, aim
غَرغَرينة	gangrene
غُرفة،غُرَف	room
غُرفة،غُرُف	room
غَرَق	drowning
غَرقان	sunk, immersed, bogged down
غُرور	conceit, vanity, self-delusion
غِري	woodworking glue
غَريب،غُرَباء	foreign, alien, strange, unusual, extraordinary, strange
غَريب،غَريبة	strange
غرَيّبة	small cake in the shape of an S made of مَبسوس mabsus
غَريزة،غَرايَز	instinct
غَريق	drowned, a drowned person
غَزال،غُزلان	gazelle
غَزال،غَزالة،غُزلان	gazelle
غَزّاوي،غَزازوة	Gazan
غَزّة	Gaza
غَزل	spinning
غَزو	invasion
غَسّالة	washing machine, person who washes things
غَسيل	washing, laundry, developing (film)
غُش	fraud, deceit, swindle
غِشاء	cover, envelope, membrane
غَشّاش	swindler, fraud, cheat, impostor
غَشيم	inexperienced, ignorant
غُصن،غصون،أَغصان	branch
غَضَب	rage, fury, anger
غَطا،غُطي	lid
غطاس	immersion
غَطى،غُطي	cover, covering, lid
غطَيطة	fog, mist
غَفلان	absent minded, distracted, (some areas) asleep, drowsy
غُلّ	rancor, spite
غَلاء	high cost, high price
غَلّاية	kettle, coffee pot, boiling container
غَلبان	unfortunate, wretched, loser
غَلَبة	trouble, inconvenience
غَلّة	yield, harvest, produce, takings, revenue, proceeds
غُلّة،غلال،غلول	marbles
غَلَط،أَغلاط	mistake, error, wrong, incorrect
غَلَط،أغْلاط	error
غَلطان	wrong, mistaken
غَلطة	error, mistake
غَلَن	jerrycan
غَلَيان	boiling, unrest
غَليان	newly expensive, having gone up in price
غَليون،غَلايين	pipe (smoking)
غَمّاز	indicator (light), blinker, turn signal
غَمّازة	dimple
غُمّاي	blind man's buff
غُمرُك	customs
غَمزة	wink
غُمَّيضة	blind man's buff
غَميق،غماق	deep (literal)
غِناء	singing, song, wealth
غَندور	dandy, fop, show off
غَنَم	sheep (coll, sometimes includes goats)
غَنَمة	a single sheep
غَنّوج	self-indulgent
غَني،غُنَيا،غَنايا	rich, wealthy
غَني،غَنيّة،أغنيا	rich
غَوّاد	pimp
غَوّاصة	submarine
غوث/غَوث	help, aid
غور	vallet
غَوغا	noise, shouting, rabble, mob
غول	ghoul, man-eating demon
غول،غوال	goal (football)
غياب	absence, disappearance, setting (of sun etc)
غَيار	replacement, spare part, change of clothes, gear (on a vehicle)
غَيب	hidden, invisible, unknown, beyond human perception
غَيبة	absence, period of absence
غير	gear
غَير	except, apart from, other, another, else, different, un-, in-, dis-
غِيرة	jelousy
غَيض	small quantity
غَيم،غَيمة،غَيوم	cloud
غَيّور	jealous
فَ	then, so, hence, thus
فاتَح،فاتحة،فاتحين	open (of shop, etc)
فاتِحة،الفاتِحة	The Opening (first sura of the Qur'an)
فاتَر،فاترة	lukewarm
فاخَر	glorious, luxorious, fancy, grand
فار،فارة،فيران	mouse
فار،فيران	mouse
فارة،فارات	plane (carpenter's tool)
فارَغ،فارغة	empty, unoccupied, free
فارَق،فَوارَق	difference
فاريزة،فَواريز	comma
فاس،فوس	hoe
فاشَل،فاشلة	failed, unsuccessful
فاصَل،فاصلة	seperating
فاصلة،فَواصَل	comma
فاضي	empty, vacant, free, unoccupied
فاضي،فاضْية،فاضْيين	empty
فاكِهة،فَواكِه	fruit
فال	sign, omen
فالَت،فالتة	unattached, detached, free, loose, dissolute, wanton, loose
فالَج	partial paralysis (of one side of the body, or a particular limb
فِالمُدّة الأخيرة	lately
فانوس،فَوانيس	lantern
فاهَم	understanding (active part.)
فاهِم،فاهْمة،فاهْمين	understanding (act)
فايدة،فائِدة،فَوايَد،فَوائَد	benefit, advantage, interest, point
فائَز	winner, victor
فايَض،فايَظ	interest (on a loan)
فَتاة،فِتَيات	girl
فتّاح	fortune teller (opener)
فتاق	hernia, rupture
فَتّان	telltale
فَتّان،فَتّانة	charming, attractive
فَتح	opening, conquest
فِتَح،فِتحة،فِتحين،فِتحات	clever, bright
فَتحة	opening, slot, aperture, the vowel َ a
فَترة	period of time, a while
فَتفوتة،فَتافيت	crumb
فِتنة	charm
فَتورة،فَواتير	receipt
فَتوى،فَتاوي	fatwa, religious decree
فتيلة،فَتايَل	wick
فَجأَ	suddenly
فُجائي	sudden
فَجْأة	suddenly
فَجر	dawn
فَجعان	glutton
فِجل	radishes
فِجلة	a radish
فَجوة	gap, breach
فَحْص	examination
فَحص،فُحوص	test, examination, exam
فَحم	coal
فَخّ،فخاخ	trap, snare
فُخّار	pottery, earthenware
فَخد،فخاد	thigh
فَخر	pride, glory, magnificence, splendour
فَخم	luxury, splendid, magnificent, grand, fancy, classy
فَخور	proud
فِداء	redemption, ransom, sacrifice
فِدية	ransom
فراش	bed linen, bedding
فراطة	small change, unimportant, worthless
فَراغ	free time, liesure, emptiness, void
فَرّان	baker
فُرجة	sight, vision, spectacle
فَرَح،أَفراح	happiness, joy, gladness, family celebration
فَرحان	happy, glad
فَرخ،أفراخ،فراخ	chick, fledgling
فَرد،فرودة	pistol, gun, spray gun, hairdryer
فَردة،فَردات	one of a part, half of a couple
فَردي	individual
فَرسي	Persian, Farsi
فُرشاية،فَراشي،فُرشايات	brush
فَرشة	mattress, bed
فَرْشة،فَرْش	mattress
فُرصة،فُرَص	opportunity, chance, occasion, holiday, vacation (from study)
فَرض،فُروض	imposition, duty, homework
فَرع،فروع	branch, twig, area of study, learning track
فُرق	parting (of hair)
فَرق	difference
فَرق،فُروق	difference
فِرقة،فِرَق	company, team, troop, choir, band, troupe, division (military)
فَرك	rubbing, polishing, brushing
فَرمَشاني	pharmacist, chemist (the person)
فَرمَشِيّة	pharmacy, chemist (the shop)
فُرن،فرانة،فرونة،أَفران	stove, bakery
فرَنجي	european, western (in some expressions)
فرَنساوي	french
فرَنك	franc (currency)
فَريد	unique, incomparable, unrivalled, a common first name
فَريضة،فَرائَض	duty, religious obligation
فَريق،فِرَق	team
فَزّاعة	scarecrow
فَساد	corruption
فَسّاد	slanderer
فُستان،فُسطان،فَساتين،فَساطين	dress
فُسْتان،فَساتين	dress
فُسْتُق	peanuts
فُستُق،فُسدُق	general term for peanuts and pistachios
فَسحة،فَسَحة	space, gap
فُسفُساء،فُسَيفِساء	mosaic
فَسفوس	tiny, very small
فَشّة	lights (the lungs of a sheep, etc, when used as food)
فَشَل	failure
فِصح	Passover, Easter
فُصحى	classical, literary (Arabic)
فَصل	dismissal, expulsion, seperation
فَصل،فصول	season, chapter, act (of a play)
فَصولية	beans
فَصيح،فُصَحاء	fluent, eloquent, classical, literary (of Arabic), skilled in the correct use of FuSHa
فصيلة	bargaining
فَصيلة،فَصائَل	platoon, squad
فَضاوة	free time, leisure
فَضائي	space (adj), relating to outer space
فِضّة	silver
فَضل	favor, grace
فَضْل،أَفْضال	favor
فَضلة	remainder, remnant, leftovers, scraps
فَضى	void, space, daylight
فَضيحة،فَضايَح	disgrace, scandal, humiliation
فَضيلة،فَضايَل	virtue, good quality
فِطام	weaning
فُطر	mushrooms
فِطر	the feast that celebrates the end of Ramadan fasting
فطور	breakfast
فطيسة،فَطايَس	carcass, carrion
فَظاعة،فَظائَع	atrocity, horror
فَظيع	awful, dreadful, terrible, terrific, marvelous
فَعّال،فَعّالين	active, energetic, effective, efficacious
فَعّالِيّة	activity, effectiveness, efficacy
فِعل،أَفعال	action, verb
فِعلاً	really, actually
فَقاقي	liquid bubbles
فُقدان	loss (vn)
فَقَر،فَقر،فُقُر	poverty
فَقرة،فَقَرات	vertebra, paragraph, article, section, clause
فَقَط	only, just
فَقفولة،فَقافيل	blister
فِقه	Islamic jurisprudence
فَقّوسة،فَقّوس	a type of long thin cucumber
فَقير،فُقَراء	poor, in poverty
فَقير،فَقيرة،فُقَرا	poor
فُقَّيشة	christmas ornament, wooden or metal castanets (small cymbal used by dancers)
فَقيه،فُقَهاء	(muslim) jurist
فَكّ	jaw
فُكاهة	humor, joking
فِكر،أَفكار	thought, opinion, intention
فِكرة،أَفكار	thought, idea, notion
فِكْرة،إفْكار	idea, thought
فَكس،فاكس،فَكسات	fax
فَل	may.., let.., if only..
فُلّ	Arabian jasmine
فَلّاح،فَلّاحة،فَلّاحين،فَلّاحات	peasant, farmer
فَلّاح،فَلّاحة،فَلّاحين	farmer
فلاحة	ploughing, cultivating
فلاشَر	indicator (light), blinker, turn signal
فْلان	so-and-so
فلان عالْتَّلِفون،بِدّهُ يّاك	so and so's on the phone, he wants you
فلان،فُلان،فلانة	so-and-so
فلاني	such-and-such
فْلانِيّة	such-and-such
فِلتَر	filter (from English)
فَلسَفة	philosophy
فِلفَل	pepper
فلَفلة	small hot pepper
فَلَقة،فَلَقات،فُلَق	piece (of soap)
فَلَك	skies, heavens, celestial body
فلوس	money (technically a plural of فِلس, a small coin)
فلوكة،فلايَك	boat (Jerusalem, Egypt)
فَلّين	cork (coll.)
فَلّينة	a cork
فَنّ،فُنون	art, craft, technique, skill
فَنّان،فَنّانين	artist
فِنجان،فَناجين	cup
فِنْجان،فَناجين	cup
فُندُق،فَناديق	hotel
فَنَلّة،فَنَيلة	vest, undershirt
فَنّي	artistic, technical
فَهلاوي	quick-thinking, quick-witted, resourceful
فَوات	passing, lapse (of time)
فَوج،أَفواج	group, course, year (as in school year), intake, class (as in "class of '79")
فورمَن	foreman
فَوري	immediate, instantaneous
فَوضة	chaos, disorder, anarchy
فَوضَوي	anarchist, untidy person, slob
فَوضَوي،فَوضَويّة،فَوضَفويّين	anarchist
فَوضى	chaos, disorder, mess
فوطة،فُواط	napkin, serviette, small towel
فوق	up, upstairs, above, apart from, in addition, on top of
فوقاني	upper, top
فول	broad beans
فولة	one broad bean
فَيّ	shade
في	there is/are, in, at
فَيّ،فَيّات	shade
فِئة	group
فَيدوس،فَدوس	holiday (especially in rural Muslim speech)
فيزيا	physics
فَيَضان	flood
فَيل	index card (from english 'file')
فيل،فِيالة،فيول	elephant, bishop (chess)
فيل،فِيَلة	elephant
فَيلَسوف،فَلسِفاء	philosopher
فَين؟	where? (in some areas)
فيوز	fuse (from english)
ڤيديو	video
ڤَيرُس	virus
ڤيزا،ڤِيَز	viza
ڤيزا،يَعني كَرت إِعتِماد	viza, that's to say, a credit card
قاتَل	having killed
قادَر	able, can
قادِر،قادْرة،قادْرين	able
قادَم	next, coming
قارَض،قَوارَض	rodent
قاري	having read
قارَئ،قُرّاء	reader
قاسي	hard, difficult, harsh
قاصَر،قُصّار/قَواصَر	minor, under age
قاضي،قُضاء	judge
قاطَع	conclusive, decisive
قاع	bottom, (sea)floor
قاعة	hall, large room
قاعَد	sitting, OR this weird auxilary verb
قاعِد،قاعِدة،قاعِدين	sitting
قاعِدة،قَواعَد	base, principle, rule
قافية،قَوافي	rhyme
قالَب،قَوالَب	mould, matrix, pan, cake pan
قاموس،قَواميس	dictionary
قاهِرة،القاهِرة	Cairo
قائَد،قُوّاد/قادة	leader, commander, conductor
قايَم	standing, up (ie not in bed)
قائِمة،قَوائَم/قائِمات	list, table
قبال/إقبال	opposite, facing
قَبّان	platform scale, weighbridge
قَبّة	collar
قُبّة،قُبَب	dome
قَبر،قبور	grave, tomb
