past	pres	form	def
حَنّ	يحَنّ	1	to long, yearn for, be nostalgic for, miss
حَنَّط	يحَنَّط	2	to embalm, stuff
حَنى	يِحني	1	to bow (trans)
حَنّى	يحَنّي	2	to henna
حَوَّس	يحَوَّس	2	to fry (onions)
حَوَّش	يحَوَّش	2	to gather, accumulate, save up
حَوَّط	يحَوَّط	2	to encircle, surround
حَوَّل	يحَوَّل	2	to turn into, to transfer, pass on, divert
حَوى	يِحوي	1	to contain, include
حَيَّر	يحَيَّر	2	to confuse, disconcert, embarrass
حَيّى	يحَيّي	2	to keep alive, to greet, to salute
خاب	يخيب	1	to be disappointed
خاض	يخوض	1	to wade
خاطَر	يخاطَر	3	to risk
خاف	يخاف	1	to be afraid
خالَط	يخالَط	3	to mingle with, mix with, to come into contact with
خالَف	يخالَف	3	to oppose, differ, disagree with, to contravene, break (the law)
خان	يخون	1	to betray, decieve, be unfaithful
خاوَز	يخَوَز	3	to treat preferentially, to favor
خَايَل	يخايَل	3	to be transparent
خَبَّر	يخَبَّر	2	to inform, let know
خَبَز	يِخبَز	1	to bake
خَبَّص	يخَبَّص	2	to paddle, dabble, to skimp, do a bad job
خَبَط	يُخبُط	1	to hit, beat, strike
خَبَّط	يخَبَّط	2	to knock hard, hit several times, beat, to hammer
خَبَّى	يخَبّي		to hide
خَبّى	يخَبّي	2	to hide, conceal
خَتَم	يِختَم	1	to conclude, to seal, stamp, postmark
خَتيَر	يخَتيَر		to age
خِجَل	يِخجَل	1	to be embarrassed, be ashamed
خَدَش	يُخدُش	1	to scratch
خَدَع	يخدَع	1	to decieve, cheat
خَدَم	يِخدَم	1	to serve
خَرّ	يخُرّ	1	to buzz, to gurgle
خَرَّب	يخَرَّب	2	to destroy, damage, break, cause to break down
خِرَب	يِخرَب	1	to be destroyed, to deteriorate, spoil, to break down
خَرَب/أَخرَب	يِخرَب	1	to destroy
خَربَش	يخَربَش		to scratch, to scribble
خَربَط	يخَربَط		to confuse, disarrange, mix up, muddle, to talk in a confused manner, to ramble,
خَرَج	يُخرُج	1	to go out
خَرَّج	يخَرَّج	2	to graduate, give a degree
خَرخَر	يخَرخَر	[4]	to buzz
خِرَس	يِخرَس	1	to be silent, keep quiet, be mute
خَرَط	يُخرُط	1	to turn, shape on a lathe, to brag, to tell tall tales
خَرَّف	يخَرَّف	2	to tell, recount, relate
خَرَق	يُخرُق	1	to violate, break, to penetrate, pass through
خَرَّم	يخَرَّم	2	to perforate, make holes
خِري	يِخرى	1	to shit
خَزَق	يِخزَق	1	to make a hole, to pierce
خَزَّق	يخَزَّق	2	to punch, make several holes
خَزَن	يِخزَن	1	to store, accumulate, gather
خَزَّن	يخَزَّن	2	to store
خَزى	يِخزي	1	to dishonor, disgrace, to shame, embarrass
خَسّ	يخَسّ	1	to decrease, become less, to be lacking, to lose weight
خِسَر	يِخسَر	1	to lose, incur a loss
خِسِر	يخْسَر		to incur loss
خَشّ	يخُشّ	1	to come in, go in, enter (Jerusalem, Hebron)
خَشخَش	يخَشخَش		to crackle, to rustle
خَصّ	يخُصّ	1	to concern, apply to, have to do with
خَصَّص	يخَصَّص	2	to designate, set aside, allocate
خَصَم	يُخصُم	1	to deduct, subtract, to give a discount, knock something off (the price)
خَصى	يِخصي	1	to castrate, geld
خَضّ	يخُضّ	1	to shake, jolt, to churn
خَطَب	يُخطُب	1	to make a speech, to deliver a sermon, preach, to get engaged
خَطَر	يُخطُر	1	to come to mind, occur to
خَطَّط	يخَطَّط	2	to plan
خَطَف	يُخطُف	1	to sieze, snatch, grab
خَفّ	يخَفّ	1	to become lighter/less severe, to decrease, become weaker
خَفَّض	يخَفَّض	2	to reduce, decrease, lower, devalue (currency)
خَفَّف	يخَفَّف	2	to make lighter/easier, to reduce
خَفَق	يُخفُق	1	to beat, to whip, beat (eggs, cream, etc)
خِفي	يِخفى	1	to be concealed, be imperceptible, be invisible, to escape attention
خَلّ	يخَلّ	1	to violate, break (a promise), to upset, disturb
خَلَّد	يخَلَّد	2	to perpetuate, eternalize, immortalize
خَلَص	يُخلُص	1	to be finished, be over
خَلَّص	يخَلَّص	2	to free, extricate, save, rescue, to finish, complete
خِلِص	يخْلَص		to finish
خَلَط	يُخلُط	1	to mix, blend
خَلَع	يِخلَع	1	to take out, remove, to break down something
خَلَف	يِخلَف	1	to replace, to reward
خَلَّف	يخَلَّف	2	to give birth to, to produce children / descendants
خَلَق	يِخلَق	1	to create, to make, cause
خِلَق	يِخلَق	1	to be born, be created
خَلَّل	يخَلَّل	2	to ferment (intrans), to pickle
خَلَّى	يخَلّي		to let be
خَلّى	يخَلّي		to leave something, to let, make (someone do something)
خَلّي	يخَلّي		to let, to stay
خِلي	يِخلى	1	to become empty, be empty
خِمَر	يِخمَر	1	to ferment, rise (dough)
خَمَّن	يخَمَّن	2	to estimate, assess, appraise
خَنّ	يخَنّ	1	to twang
خَنَب	يِخنَب	1	to speak through one's nose, talk nasally
خَنخَن	يخَنخَن	[4]	to twang repeatedly, to speak through one's nose, speak nasally
خَنَق	يِخنَق	1	to strangle, throttle, suffocate
خَوَّف	يخَوَّف	2	to frighten, scare
خَوَّن	يخَوَّن	2	to distrust
خَوى	يخاوي	1	to treat like a brother
خَيَّب	يخَيَّب	2	to disappoint (usually followed by أَمَل(ي/ك/ه/ها/هم)ء)x
خَيَّط	يخَيَّط	2	to sew
خَيَّم	يخَيَّم	2	to camp, encamp, to reign, prevail (mood, atmosphere)
داب	يدوب	1	to dissolve, melt, thaw
داخ	يدوخ	1	to be dizzy
دار	يدور	1	to revolve, turn, roam, travel around, wander about
دار	يدير	1	to turn something, direct (sth) toward, manage, direct, run, pour out
دارى	يداري	3	to conceal, hide, cover up, protect, watch over, look out for
دافَع	يدافَع	3	to protect, defend
دَافَع	يدَافِع		to defend, to stand up for
داق	يدوق	1	to taste
دام	يدوم	1	to last, be constant
داوَم	يداوَم	3	to work (fixed, regular hours)
دايَق	يدايَق	3	to bother, irritate, harass
دايَن	يدايَن	3	to lend (money)
دَبّ	يدَبّ	1	to push, shove, push over, knock down
دَبَح	يِدبَح	1	to slaughter, kill, massacre
دَبَّر	يدَبَّر	2	to arrange, put in order
دَبّر	يدَبِّر		to manage
دَبَغ	يدبغ	1	to tan (a skin or hide in order to convert it to leather)
دَبَّق	يدَبَّق	2	to be sticky
دَبَك	يِدبَك	1	to stamp your foot, dance the dabke
دَبَّك	يدَبَّك	2	to stamp your feet
دِبَل	يِدبَل	1	to wilt, to weather
دَبلَج	يدبلج		to dub (a film) (from french)
دَحرَج	يدَحرَج		to roll something
دَحَش	يِدحَش	1	to push in, insert, thrust
دَخَل	يُدخُل	1	to enter
دَخَّل	يدَخَّل	2	to bring in, let in, insert, put in
دَخَّن	يدَخَّن	2	to smoke
دَرَّب	يدَرَّب	2	to train
دَربَك	يدَربَك		to play the darabukka
دَردَش	يدردش		to chat
دَرَز	يُدرُز	1	to hem
دَرَس	يُدرُس	1	to study, to thresh wheat
دَرّى	يدَرّي	2	to scatter, winnow
دِري	يِدرى	1	to know
دَشَّر	يدَشَّر	2	to leave
دَشَّن	يدَشَّن	2	to inaugurate, consecrate to wear/use for the first time
دَعدَر	يدعدر		to bruise someone
دَعَس	يِدعَس	1	to tread on, to trample
دَعَك	يِدعَك	1	to knead, massage (strongly), to give someone a hard time
دَعَم	يِدعَم	1	to support, to subsidize
دَعى	يِدعي	1	to bless, wish well
دَعى	يِدعي	1	to pray for
دَعى	يِدعي	1	to curse, wish against
دَغَّم	يدَغَّم	2	to get mumps
دَفَش	يِدفَش	1	to push, shove
دَفَع	يِدفَع	1	to pay, impel, motivate, drive, make (someone do something), push, shove
دَفَن	يِدفَن	1	to bury
دَفّى	يدَفّي	2	to heat, keep warm
دِفي	يِدفى	1	to warm up (intrans), become warm
دَقّ	يدُق	1	to knock, bang, hammer, ring, grind
دَقَر	يدَقَر	1	to touch lightly, to graze
دَقَّر	يدَقَّر	2	to get stuck, stop short and be unable to continue
دَقَّق	يدَقَّق	2	to be accurate, be precise, be meticulous
دَلّ	يدَلّ	1	to show, indicate, guide, show the way
دَلَّع	يدَلَّع	2	to spoil, pamper, make too much fuss of
دَلَف	يِدلَف	1	to leak
دَلَّك	يدَلَّك	2	to massage
دَلَّل	يدَلَّل	2	to pamper, make a pet of
دَلّى	يدَلّي	2	to lower, to dangle
دَمَج	يِدمَج	1	to mix, integrate
دَمدَم	يدَمدَم	[4]	to sing quietly to oneself, croon, hum, to grumble to oneself
دَمَّر	يدَمَّر	2	to destroy, demolish, ruin, wreck
دَندَل	يدَندَل		to dangle
دَندَن	يدَندَن	[4]	to hum
دَنَّس	يدَنَّس	2	to desecrate
دَهَّب	يدَهَّب	2	to gild
دَهَس	يِدهَس	1	to run over, knock down
دَهَك	يِدهَك	1	to run over, knock down
دَهلَز	يدَهلَز		to suck up to, brownnose
دَهَن	يِدهَن	1	to paint, to coat, spread
دَهَّن	يدَهَّن	2	to coat, to spread
دَوَّب	يدَوَّب	2	to dissolve, melt, thaw, defrost
دَوَّخ	يدَوَّخ	2	to make dizzy
دَوَّر	يدَوَّر	2	to turn something, to search/look for
دوزَن	يدوزَن		to tune
دَوزَن	يدَوزِن		to tune a musical instrument
دَوَش	يِدوَش	1	to confuse, upset, disturb, fluster
دَوَّل	يدَوَّل	2	to internationalize
دَيَّق	يدَيَّق	2	to narrow, take in (clothes), to irritate, bother
ذاق	يدوق		to taste
ذَكَر	يذْكُر		to remember
ذَكَّر	يذَكِّر		to remind
رَأى	يَرى	1	to see (more formal)
راب	يروب	1	to curdle, go off, turn sour
راج	يروج	1	to be in demand, to sell like hot cakes
راجَع	يراجَع	3	to consult, apply to, to revise, go over, check, to repeat, look back on, to rehearse, to vomit
راح	يروح	1	to go, attend, go away, disappear
راد	يريد	1	to want
راعى	يراعي	3	to consider, respect, treat well, be pleasant to
رافَق	يرافَق	3	to accompany
راق	يروق	1	to become clear, become limpid (of liquid), to calm down, see things clearly
راقَب	يراقَب	3	to supervise, monitor, check up on, keep an eye on, to censor
راهَن	يراهَن	3	to bet, to wager
رَبَح	يُربُح	1	to sit on eggs, be broody
رَبَّح	يرَبَّح	2	to profit (trans), make money for
رِبَح	يِربَح	1	to make a profit, to win
رَبَط	يُربُط	1	to tie up, tie down, attach, secure, bind, to keep someone waiting in vain
رَبَّط	يرَبَّط	2	to tie up (thoroughly), truss up
رَبّى	يرَبّي	2	to bring up, raise (a child), to educate, to grow (one's hair, beard), to keep, breed, rear (animals)
رِبي	يِربى	1	to grow up, be brought up
رَتَّب	يرَتَّب	2	to organize, tidy up, put in order
رَتَّل	يرَتَّل	2	to chant, sing a hymn (church), to recite the Qur'an
رَتى	يِرتي	1	to darn, sew, etc
رَجّ	يرُجّ	1	to tremble, wobble, shake
رَجَّع	يرَجَّع	2	to give back, put back, return
رِجَع	يِرجَع	1	to return, repeat, become once more, to be up to, be down to, depend on, to go back on
رِجِع	يرْجَع		to return, to go & come back
رَجَف	يِرجَف	1	to tremble, shiver, shake (intrans)
رَحَّب	يرَحَّب	2	to say مَرحَبا, to welcome
رَحَل	يِرحَل	1	to wander, roam, travel, to move towns, to emigrate, to die, pass away
رَحَم	يِرحَم	1	to have mercy on
رَخَّص	يرَخَّص	2	to reduce in price, make cheaper
رَخّى	يرَخّي	2	to relax, loosen, slacken, to dilute, to thin
رَدّ	يرَدّ	1	to reply, respond, react, to prompt, whisper the answer to a classmate
رَدَع	يِردَع	1	to deter, prevent
رَزَق	يِرزَق	1	to provide (with livelihood), to bless with (a child) (of God)
رِزَق	يِرزَق	1	to make a living, be blessed with
رَسَب	يِرسَب	1	to sink, to fail (exam), to repeat a year (school)
رَسَّب	يرَسَّب	2	to sink (another one)
رَسَم	يِرسَم	1	to draw, sketch
رَسى	يِرسي	1	to anchor, cast anchor, to sink, to have fall to one's lot, to be selected for
رَسّى	يرَسّي	2	to sink (intrans)
رَشّ	يرُشّ	1	to crush
رَشّ	يرُشّ	1	to spray, sprinkle
رَشَح	يِرشَح	1	to sweat (of a water container etc)
رَشَّح	يرَشَّح	2	to nominate (candidate), to catch cold
رَشَق	يُرشُق	1	to whitewash
رَشى	يِرشي	1	to bribe
رَصرَص	يرَصرَص	[4]	to fill (tooth)
رَضّ	يرُضّ	1	to bruise
رَضَخ	يِرضَخ	1	to give in, let someone have their way
رَضَّع	يرَضَّع	2	to suckle, breastfeed, nurse (trans)
رِضَع	يِرضَع	1	to suck, suckle, breastfeed, nurse (intrans)
رِضي	يِرضى	1	to be pleased, be satisfied, be content, to agree, approve, consent
رَعَد	يِرعَد	1	to thunder, be thundery
رَعى	يِرعى	1	to graze, to lead (flock(s)), to pasture, take out to the pasture, to be itchy, to itch, have an itch
رَغرَغ	يرَغرَغ	[4]	to gargle
رَغى	يِرغي	1	to lather, foam, froth
رَفرَف	يرَفرَف	[4]	to flap, flutter
رَفَص	يُرفُص	1	to kick
رَفَض	يُرفُض	1	to refuse, reject, turn down
رَفَع	يِرفَع	1	to raise, put up, make louder, turn up (volume), to lodge (complaint etc), to press (charges)
رَقّ	يرَقّ	1	to roll out, flatten
رَقَص	يُرقُص	1	to dance
رَقَّع	يرَقَّع	2	to patch, mend, repair (clothes)
رَقَّم	يرَقَّم	2	to number
رَقّى	يرَقّي	2	to promote, to improve the standard
رَكَّب	يرَكَّب	2	to give (someone) a ride, to assemble, put together, compose, make up, to graft
رِكَب	يِركَب	1	to ride, to get on
رِكِب	يرْكَب		to ride
رَكَد	يِركَد	1	to calm down
رَكَز	يِركَز	1	to settle down, to set down, put down
رَكَّز	يرَكَّز	2	to concentrate, focus
رَكَض	يُركُض	1	to run
رَكَع	يِركَع	1	to prostrate oneself, to kneel down
رَكَن	يِركَن	1	to rely
رَكى	يِركي	1	to lean (trans and intrans)
رَمَز	يِرمَز	1	to symbolize, indicate
رَمَش	يِرمَش	1	to blink (once)
رَمَّش	يرَمَّش	2	to blink repeatedly
رَمى	يِرمي	1	to throw
رَمَى	يرْمي		to throw
رَنّ	يرَنّ	1	to ring (intrans)
رَنَّخ	يرَنَّخ	2	to soak (trans)
رَهَن	يِرهَن	1	to pawn, to mortage
رَوَّح	يرَوَّح	2	to cause to depart, to go home
رَوّح	يرَوِّح	1	to go home, to get rid of, remove, kill, injur
رَوَّس	يرَوَّس	2	to sharpen
رَوَّق	يرَوَّق	2	to calm, pacify
رَوى	يِروي	1	to irrigate, to quench (thirst), to drench, soak, saturate
رَيَّح	يرَيَّح	2	to calm, soothe, to give a rest, let someone take it easy
رَيَّل	يرَيَّل	2	to salivate, dribble, drool
زاح	يزيح	1	to move over, move away, move aside
زاد	يزيد	1	to add, be left over, be surplus, to exceed, to exaggerate
زار	يزور	1	to visit
زاقى	يزاقي	3	to creak, to squeak
زال	يزول	1	to go away, to leave, disappear
زان	يزين	1	to weigh
زَبَّل	يزَبَّل	2	to fertilize
زَتّ	يزَتّ	1	to throw, throw away, throw out
زَحَف	يِزحَف	1	to crawl, creep, slither
زَخّ	يزَخّ	1	to pour, to down rain
زَخرَف	يزَخرَف		to decorate
زَرَّر	يزَرَّر	2	to button, button up
زَرزَب	يزَرزَب	[4]	to cheat (at games) (in some areas)
زَرَع	يزْرَع		to sow
زَرَق	يُزرَق	1	to slip in/out, sneak in/out
زَعزَع	يزَعزَع		to shake, undermine
زَعَّل	يزَعَّل	2	to annoy, upset, irritate, make angry, upset, distress
زِعَل	يِزعَل	1	to be angry, be annoyed, be irritated, be upset, be distressed
زِعِل	يزْعَل		to be angry
زَغَّر	يزَغَّر	2	to reduce, decrease, make smaller, make younger, think someone is younger than he is
زَغرَت	يزَغرَت		to make that trilling sound
زَغزَغ	يزَغزَغ	[4]	to tickle
زَفَّت	يزَفَّت	2	to tar
زَقّ	يزُقّ	1	to carry (from place to place), to unload, to shove, push, jostle
زَقزَق	يزَقزَف	[4]	to chirp, tweet, twitter, sing (birds)
زَقَط	يُزقُط	1	to catch
زَقَّف	يزَقَّف	2	to clap, applaud
زَكَر	يُزكُر	1	to mention, repeat, refer to, to quote
زَكَّر	يزَكَّر	2	to remind
زَكزَك	يزَكزَك	[4]	to tickle (in some areas
زَمَّر	يزَمَّر	2	to honk, hoot (horn)
زَن	يزَنّ	1	to buzz (another one)
زَنى	يِزني	1	to commit adultury, fornicate
زَهَّر	يزَهَّر	2	to flower, bloom, be in bloom
زَهَّق	يزَهَّق	2	to bore someone, make someone fed up, cause someone to be sick of
زِهَق	يِزهَق	1	to become fed up with, get tired of, have enough of, get bored
زِهِق	يزْهَق		to be fed up
زَوَّد	يزَوَّد	2	to supply, equip
زَوَّر	يزَوَّر	2	to take someone for a visit/trip, to forge, to fake
زِوَر	يِزوَر	1	to have yo food go down the wrong way, swallow the wrong way
زَيَّت	يزَيَّت	2	to oil
زَيَّف	يزَيَّف	2	to forge, fake, counterfeit
سَأَل	يِسأَل	1	to ask
ساب	يسيب	1	to leave (trans) - not widely used
ساعَد	يساعَد	3	to help
سافَر	يسافَر	3	to travel, set out, go, leave
ساق	يسوق	1	to drive (vehicle)
سال	يسيل	1	to flow, stream, run, leak
سامَح	يسامَح	3	to forgive
ساهَم	يساهَم	3	to contribute, help out, do your bit, participate
ساوى	يساوي	3	to arrange, fix, mend, repair, straighten out, to do
سايَر	يسايَر	3	to be accommodating, be amenable, be considerate
سَبّ	يسَبّ	1	to curse, swear
سَبَّب	يسَبَّب	2	to cause, lead to
سَبّب	يسَبِّب		to cause, to bring about
سَبَح	يِسبَح	1	to swim, bathe
سَبَّح	يسَبَّح	2	to praise, to make swim, help swim, teach to swim
سَبَغ	يُسبُغ	1	to dye
سَبَق	يُسبُق	1	to overtake, outstrip, leave behind, precede, arrive before
سَبَّق	يسَبَّق	2	to bring forward, advance, to be fast (watch, clock)
سَبَك	يُسبُك	1	to cast, smelt, pour into a mould (metal)
سَتَر	يُستُر	1	to cover, hide, protect from harm, protect someone's reputation
سَتَّر	يسَتَّر	2	to cover, protect, esp. body parts
سَجَّل	يسَجَّل	2	to record, register, sign up for, sign on
سَحَب	يِسحَب	1	to pull, draw, to withdraw, take out (money from account), to extract (confession), to take (back), to bring in, take in (money), to draw (lottery)
سَحَج	يِسحَج	1	to mark time by clapping hands
سَحَر	يِسحَر	1	to enchant, charm, put under a spell
سَحسَل	يسَحسَل		to slide (on playgroung slide)
سَحَل	يِسحَل	1	to slip off, slip down
سَخَن	يُسخُن	1	to warm up, heat up (intrans)
سَخَّن	يسَخَّن	2	to warm/heat something up
سَدّ	يسَدّ	1	to block, seal off, barricade, to pay, settle (debt)
سَدَّق	يسَدَّق	2	to believe (not to believe IN), to long for impatiently, be unable to wait for
سَرّ	يسُرّ	1	to delight, make happy
سَرَح	يِسرَح	1	to herd, take out to pasture, to roam, wander, to be preoccupied/distracted
سَرَّح	يسَرَّح	2	to release, let go, dismiss, discharge, to demobilize, to comb, do (hair)
سَرَق	يُسرُق	1	to steal
سَرى	يِسري	1	to be valid, be effective, to apply
سَعَل	يُسعُل	1	to cough
سَفَك	يِسفَك	1	to shed (blood)
سَقَط	يُسقُط	1	to fall, fail
سَقَّط	يسَقَّط	2	to cause to fail, to fail (trans)
سَقى	يِسقي	1	to water, irrigate, to give someone a drink
سَكَت	يُسكُت	1	to be silent, keep quiet, shut up, say nothing
سَكَّت	يسَكَّت	2	to silence, shut someone up
سَكّت	يسَكِّت		to silence
سَكَّر	يسَكَّر	2	to close, to lock
سِكَر	يِسكَر	1	to get drunk
سِكِر	يسْكَر		to get drunk
سَكَن	يُسكُن	1	to live, stay, reside
سَكَّن	يسَكَّن	2	to calm, reassure, alleviate, relieve
سَلَّح	يسَلَّح	2	to arm, supply with weapons
سَلَّف	يسَلَّف	2	to lend (money)
سَلَق	يُسلُق	1	to boil (trans)
سَلَك	يُسلُك	1	to go smoothly, to get used to, become accustomed to, find a way to get along with
سَلَّك	يسَلَّك	2	to lay wire, ie to get things flowing/moving
سَلَّم	يسَلَّم	2	to greet, give your regards, to deliver, hand over, give, to surrender (trans and intrans), to preserve, protect from harm
سِلَم	يِسلَم	1	to be well, be safe, be unharmed
سَلَّى	يسَلّي		to entertain
سَلّى	يسَلّي	2	to amuse, entertain, divert
سَمَح	يِسمَح	1	to permit, allow, let, grant
سَمَّع	يسَمَّع	2	to make hear, let hear, to hint, convey a message in a roundabout way
سِمَع	يِسمَع	1	to hear, listen
سِمِع	يسْمَع		to hear
سَمَّك	يسَمَّك	2	to thicken (trans)
سَمَّن	يسَمَّن	2	to fatten, fatten up (trans)
سَمَّى	يسَمّى		to name
سَمّى	يسَمّي	2	to name, to call, to say بإِسمِ الله, say grace, etc
سَنّ	يسَنّ	1	to grind, sharpen, whet
سَنَد	يِسنَد	1	to prop up, support
سَنَّن	يسَنَّن	2	to teethe, cut one's teeth
سِهَر	يِسهَر	1	to stay up late, to spend the evening
سِهِر	يسْهَر		to stay up late; to spend the evening
سَهَّل	يسَهَّل	2	to make easy, make easier, make more convenient
سَهى	يِسهي	1	to be inattentive, stop paying attention, get distracted
سَوَّد	يسَوَّد	2	to blacken
سَوَّس	يسَوَّس	2	to become worm eaten, to decay (tooth)
سولَف	يسولَف		to tell, relate (stories), to talk, converse (old fashioned word)
سَوَّى	يسَوّي		to do, to arrange
سَوّى	يسَوّي	2	to straighten, arrange, put in order, to do
سِوي	يِسوى	1	to be equal, be worth, have value
سَيَّج	يسَيَّج	2	to fence, hedge
سَيطَر	يسَيطَر		to control, dominate, take control of
شاء	يَشاء	1	to want, wish
شاب	يشيب	1	to turn white (hair), to get grey hairs, to become white/gray haired
شارَط	يشارَط	3	to impose a condition, make something conditional upon, to bet, to wager
شاع	يشيع	1	to spread (intrans)
شاغَب	يشاغَب	3	to cause trouble, cause a disturbance
شاف	يشوف	1	to see, to consider, watch, find
شال	يشيل	1	to remove, take off, dismiss, take away, move away
شاهَد	يشاهَد	3	to watch, observe, view, look at
شاوَر	يشاوَر	3	to consult, ask for advice
شَبَّر	يشَبَّر	2	to measure in handspans
شِبَع	يِشبَع	1	to become satisfied / full / replete / sated, to have enough to eat, to become fed up, get sick of
شِبِع	يشْبَع		to be satisfied
شَبَك	يِشبَك	1	to stir up trouble
شَبَّك	يشَبَّك	2	to plait, weave, twine
شِبِه	يِشبَه	1	to resemble
شَبّى	يشَبّي	2	to mate (trans)
شَتَل	يِشتِل	1	to plant, to transplant
شَتَم	يِشتِم	1	to swear, curse
شَتّى	يشَتّي	2	to rain
شَجَّع	يشَجَّع	2	to encourage, embolden, hearten, bolster one's courage
شَحبَر	يشَحبَر		to scorch, blacken (by burning), cover with soot
شَحَد	يِشحَد	1	to beg, ask for charity
شَحَّد	يشَحَّد	2	to donate, give as charity
شَحَط	يِشحَط	1	to drag, trail, to strike (a match), to skid, to draw a line
شَحَّم	يشَحَّم	2	to grease (engine)
شَحَن	يِشحَن	1	to load, charge/recharge (battery etc)
شَخّ	يشُخّ	1	to urinate, relieve yourself
شَخَر/شَنخَر/شَخوَر	يِشخَر/يشَنخَر/يشَخوَر		to snore
شَخَّص	يشَخَّص	2	to diagnose
شَدّ	يشَدّ	1	to exert pressure, pull, draw tight, to tie, tighten, fasten, make fast, to be strict with, to support, stand up for, rally around
شَدَّد	يشَدَّد	2	to be strict, be severe, get tough, to emphasize
شَذ	يشَذّ	1	to deviate, to stand out, be irregular, be unusual, be exceptional
شَرَّب	يشَرَّب	2	to give something to drink, to drench, soak, to imbue, instil
شِرِب	يشْرَب		to drink
شَربَط/شَلبَط	يشَربَط/يشَلبَط		to be on heat
شَربَك	يشَربَك		to tangle (trans)
شَرَّح	يشَرَّح	2	to cut up, slice up, to dissect, perform an autopsy
شَرَد	يُشرُد	1	to flee, run away, take flight, to wander, roam, stray
شَرَّد	يشَرَّد	2	to drive away, chase away, put to flight, to scatter, to exile, deport, expel, drive out
شَرَّش	يشَرَّش	2	to develop varicose veins
شَرشَح	يشَرشَح	[4]	to wear out, to treat badly, humiliate, abuse
شَرَط	يُشرُط	1	to tear (trans)
شَرَّط	يشَرَّط	2	to tear repeatedly, to impose a condition
شَرَّف	يشَرَّف	2	to respect, honor
شَرَق	يُشرُق	1	to gulp down, to slurp, suck in / suck up noisily
شَرَك	يِشرَك	1	to participate, take part, join in
شَطَب	يُشطَب	1	to erase, rub out, cross out, cross off
شَطَّب	يشَطَّب	2	to cross out (with several strokes), erase (many things at once)
شَطَح	يِشطَح	1	to go on an excursion, make a trip, have a picnic, to wander, stroll
شَطَف	يُشطُف	1	to wash, to rinse
شَعَر	يُشعُر	1	to feel, percieve, be aware
شَعَط	يِشعَط	1	to burn, scorch
شَعَّل	يشَعَّل	2	to light, ignite, set on fire
شَغَل	يِشغَل	1	to occupy, keep busy
شَغَّل	يشَغَّل	2	to employ, make someone/something work, to operate, use, set in motion (machine etc)
شَفَط	يُشفُط	1	to suck up, suck in, to slurp
شِفَق	يِشفَق	1	to take pity on, be merciful, have mercy
شَفى	يِشفي	1	to cure, heal (particularly by God)
شِفي	يِشفى	1	to get better, recover
شَقّ	يشُقّ	1	to crack, split, breat open, rend, to push ajar, open just a crack, to visit the sick
شَقَح	يِشقَح	1	to cut open, slice open, split open
شَقَّح	يشَقَّح	2	to cut up
شَكّ	يشَكّ	1	to doubt, distrust, suspect, to thread, string, to impale, to prick, to stab
شَكَر	يُشكُر	1	to thank
شَكشَك	يشَكشَك	[4]	to pierce repeatedly, stab repeatedly
شَكَّل	يشَكَّل	2	to be, constitute, to assemble, form, put together, to vocalize, vowelize, put in voweles (in written arabic)
شَكى	يِشكي	1	to complain, suffer (from), tell on, inform against, snitch on
شَكَى/اِشْتَكَى	يشْكي/يشْتَكي		to complain
شَلَح	يِشلَح	1	to take off, remove (clothes or shoes)
شَلَع	يِشلَع	1	to pull hard, take out
شَلفَق	يشَلفَق		to cut corners, be lax, be negligent
شَمّ	يشَمّ	1	to smell, sniff
شَمَّت	يشَمَّت	2	to give someone something to gloat over, to provide an opportunity to gloat
شِمَت	يِشمَت	1	to gloat (over another's misfortune)
شَمَّر	يشَمَّر	2	to roll up (sleeves
شَمَّس	يشَمَّس	2	to be sunny, to air, spread out to dry in the sun, to perform a function at a Christion service
شَمشَم	يشَمشَم	[4]	to sniff around
شَمْشَم	يشَمْشِم		to sniff around
شَمَّع	يشَمَّع	2	to wax, seal with wax
شَمَل	يِشمَل	1	to include, comprise
شَمَّم	يشَمَّم	2	to let (someone) smell (something)
شَنغَل	يشَنغَل		to hook, hook open, hook back
شَنَق	يُشنُق	1	to hang (put to death)
شَنهَق	يشَنهَق		to bray (of donkey)
شَهَق	يِشهَق	1	to bray, to sob, gulp, gasp
شَهّى	يشَهّي	2	to whet one's appetite, water the mouth
شَوَّش	يشَوَّش	2	to confuse, muddle, disturb, distort
شَوَّق	يشَوَّق	2	to whet one's appetite, arouse one's curiosity
شَوَّه	يشَوَّه	2	to deform, distort, disfigure, deface
شَوى	يِشوي	1	to roast, to grill
شَيَّب	يشَيَّب	2	to give one grey hairs, turn one's hair white
شَيَّد	يشَيَّد	2	to build well
شَيَّع	يشَيَّع	2	to disseminate, distribute, publicize, spread, to attend (a funeral)
صاب	يصيب	1	to hit (target etc), to injure, afflict, befall, happen to (misfortune), to touch
صاح	يصيح	1	to shout, scream, to crow (rooster)
صاحَب	يصاحَب	3	to befriend, make a friend
صاد	يصيد	1	to hunt, fish, to catch (by hunting/fishing)
صادَر	يصادَر	3	to confiscate, impound, expropriate
صادَف	يصادَف	3	to run into, come across, meet by chance
صادَق	يصادَق	3	to approve, authorize, sanction, ratify
صار	يصير	1	to happen, begin, turn out, become, be now
صاصى	يصاصي	3	to cheep, chirp
صاصَى	يصاصي		to chirp, to cheep
صالَح	يصالَح	3	to make up with, become reconciled with, make peace with
صام	يصوم	1	to fast
صان	يصون	1	to watch over, guard, protect, mind
